KTS  S   FD   KD  FT
6    0    0    6    6
8    5    0    4    4
10   12    0    3    3
11    1    0   11   11
12    7    0    8    8
12   11    0    6    6
13    8    0    8    8
13   10    0    7    7
14    6    0   10   10
14   18    0    5    5
14    2    0   13   13
15   16    5    2    7
16   15    4    4    8
16   17    4    3    7
19   19    8    2   10
20   14    4    9   13
25    4    0   21   21
27   13    0   20   20
34    3    0   32   32
64    9    0   58   58
Game is WIN
Total Enemies = 20
Average Fight Delay = 1.25
Average Kill Delay = 11.6
